Term: t	 Score: 1
Term: http	 Score: 1
Term: been	 Score: 0
Term: live	 Score: 0
Term: ll	 Score: 1
Term: show	 Score: 1
Term: did	 Score: 0
Term: well	 Score: 1
Term: right	 Score: 1
Term: im	 Score: 1
Term: look	 Score: 2
Term: let	 Score: 1
Term: very	 Score: 1
Term: off	 Score: 1
Term: bracelet	 Score: 2
Term: these	 Score: 0
Term: way	 Score: 1
Term: even	 Score: 2
Term: over	 Score: 1
Term: ever	 Score: 1
Term: him	 Score: 0
Term: gt	 Score: 2
Term: coleandbeapillowtalk	 Score: 3
Term: doesn	 Score: 1
Term: youtube	 Score: 1
Term: someone	 Score: 1
Term: real	 Score: 1
Term: could	 Score: 1
Term: say	 Score: 0
Term: check	 Score: 2
Term: should	 Score: 1
Term: en	 Score: 1
Term: el	 Score: 1
Term: then	 Score: 0
Term: each	 Score: 0
Term: after	 Score: -1
Term: last	 Score: 1
Term: cover	 Score: 4
Term: game	 Score: 1
Term: take	 Score: 0
Term: come	 Score: 2
Term: had	 Score: 1
Term: girl	 Score: 0
Term: arsenal	 Score: 1
Term: tomorrow	 Score: 2
Term: na	 Score: 1
Term: its	 Score: 1
Term: were	 Score: 1
Term: everyone	 Score: 2
Term: tonight	 Score: 2
Term: into	 Score: 1
Term: years	 Score: 1
Term: man	 Score: 1
Term: keep	 Score: 2
Term: aldubfashionproject	 Score: 2
Term: am	 Score: 1
Term: down	 Score: 0
Term: black	 Score: 0
Term: talk	 Score: 1
Term: getting	 Score: 0
Term: vote	 Score: 1
Term: next	 Score: 1
Term: every	 Score: 1
Term: world	 Score: 1
Term: home	 Score: 1
Term: thing	 Score: 1
Term: star	 Score: 1
Term: same	 Score: 0
Term: guys	 Score: 1
Term: se	 Score: 1
Term: d	 Score: 1
Term: watch	 Score: 1
Term: white	 Score: -1
Term: messi	 Score: 1
Term: made	 Score: 1
Term: year	 Score: 1
Term: everything	 Score: 0
Term: listen	 Score: 1
Term: oh	 Score: 1
Term: w	 Score: 1
Term: trump	 Score: 2
Term: aren	 Score: -1
Term: money	 Score: -1
Term: ur	 Score: 1
Term: school	 Score: 0
Term: twitter	 Score: 1
Term: where	 Score: 0
Term: feel	 Score: 1
Term: tweet	 Score: 1
Term: again	 Score: 0
Term: c	 Score: 1
Term: tell	 Score: 1
Term: omg	 Score: 1
Term: didn	 Score: 1
Term: most	 Score: 2
Term: mean	 Score: 0
Term: old	 Score: 1
Term: leadersdebate	 Score: 0
Term: night	 Score: 2
Term: x	 Score: 1
Term: play	 Score: 1
Term: done	 Score: 0
Term: baby	 Score: 2
Term: week	 Score: 1
Term: da	 Score: 1
Term: give	 Score: 1
Term: read	 Score: 1
Term: un	 Score: 1
Term: before	 Score: 0
Term: says	 Score: 0
Term: days	 Score: 1
Term: friends	 Score: 1
Term: music	 Score: 1
Term: ya	 Score: 1
Term: talking	 Score: -2
Term: job	 Score: 1
Term: song	 Score: 1
Term: morning	 Score: 2
Term: para	 Score: 1
Term: start	 Score: 0
Term: find	 Score: 0
Term: put	 Score: 0
Term: does	 Score: 1
Term: fans	 Score: 1
Term: laurenjauregui	 Score: -1
Term: any	 Score: 1
Term: makes	 Score: 0
Term: said	 Score: 0
Term: things	 Score: 1
Term: relationship	 Score: 0
Term: shooting	 Score: 2
Term: ready	 Score: 1
Term: gonna	 Score: -1
Term: por	 Score: 1
Term: something	 Score: 1
Term: vs	 Score: 1
Term: b	 Score: 1
Term: used	 Score: 0
Term: away	 Score: 3
Term: sure	 Score: 2
Term: retweet	 Score: 2
Term: stay	 Score: 2
Term: n	 Score: 1
Term: making	 Score: -1
Term: lot	 Score: 2
Term: remember	 Score: 0
Term: another	 Score: 1
Term: hey	 Score: 0
Term: girls	 Score: 1
Term: showmethecraft	 Score: 2
Term: notch	 Score: 2
Term: meteorite	 Score: 2
Term: mainedcm	 Score: 2
Term: person	 Score: 1
Term: heart	 Score: 1
Term: may	 Score: 1
Term: news	 Score: 0
Term: call	 Score: -1
Term: team	 Score: 1
Term: try	 Score: -1
Term: birthday	 Score: 4
Term: looking	 Score: 1
Term: wanna	 Score: -1
Term: harmonizers	 Score: 1
Term: eu	 Score: 2
Term: friend	 Score: 1
Term: face	 Score: 1
Term: around	 Score: 0
Term: coleplante	 Score: 3
Term: different	 Score: 0
Term: sa	 Score: 1
Term: finally	 Score: 4
Term: two	 Score: 1
Term: thought	 Score: 2
Term: seen	 Score: 2
Term: con	 Score: 1
Term: si	 Score: 0
Term: com	 Score: 1
Term: coming	 Score: 0
Term: soon	 Score: 1
Term: votemainefpp	 Score: 2
Term: against	 Score: 1
Term: r	 Score: 1
Term: votekathrynfpp	 Score: 3
Term: women	 Score: 1
Term: many	 Score: 2
Term: long	 Score: 1
Term: through	 Score: 1
Term: politicsjim	 Score: 2
Term: lo	 Score: 2
Term: te	 Score: 1
Term: found	 Score: 0
Term: dog	 Score: 0
Term: doing	 Score: 1
Term: actually	 Score: 0
Term: lt	 Score: 1
Term: los	 Score: -1
Term: htt	 Score: 1
Term: ht	 Score: 1
Term: videos	 Score: 2
Term: mi	 Score: 1
Term: use	 Score: 0
Term: yo	 Score: 1
Term: k	 Score: 1
Term: house	 Score: 1
Term: wait	 Score: 1
Term: believe	 Score: 1
Term: until	 Score: -2
Term: looks	 Score: 2
Term: class	 Score: 0
Term: family	 Score: 2
Term: end	 Score: 1
Term: ok	 Score: 1
Term: votearianagrande	 Score: 1
Term: trying	 Score: -2
Term: anything	 Score: 0
Term: gets	 Score: 0
Term: dont	 Score: 0
Term: needs	 Score: 0
Term: ain	 Score: 0
Term: little	 Score: 2
Term: those	 Score: 2
Term: goals	 Score: 1
Term: barcelona	 Score: 0
Term: l	 Score: 1
Term: hi	 Score: 1
Term: anyone	 Score: 2
Term: dm	 Score: 1
Term: wants	 Score: -1
Term: ethandolan	 Score: -2
Term: online	 Score: 1
Term: already	 Score: 0
Term: high	 Score: 1
Term: nothing	 Score: 1
Term: early	 Score: 0
Term: buy	 Score: 1
Term: update	 Score: 0
Term: okay	 Score: 0
Term: post	 Score: 2
Term: turn	 Score: 0
Term: must	 Score: 1
Term: food	 Score: 1
Term: aku	 Score: 0
Term: left	 Score: 1
Term: bring	 Score: 1
Term: hair	 Score: 2
Term: di	 Score: 1
Term: having	 Score: 0
Term: name	 Score: 0
Term: bc	 Score: 0
Term: yourself	 Score: 2
Term: understand	 Score: -1
Term: also	 Score: 2
Term: february	 Score: 1
Term: change	 Score: 0
Term: bid	 Score: 2
Term: behind	 Score: 2
Term: while	 Score: -1
Term: season	 Score: 1
Term: without	 Score: 0
Term: state	 Score: 2
Term: myself	 Score: -1
Term: march	 Score: 1
Term: tickets	 Score: 1
Term: v	 Score: 1
Term: nigga	 Score: -3
Term: mom	 Score: 1
Term: es	 Score: 1
Term: internet	 Score: 2
Term: kids	 Score: 1
Term: heard	 Score: 2
Term: since	 Score: 0
Term: snapchat	 Score: 0
Term: part	 Score: 1
Term: af	 Score: 1
Term: guy	 Score: 1
Term: album	 Score: 3
Term: business	 Score: 1
Term: sleep	 Score: 0
Term: nobody	 Score: 0
Term: times	 Score: 2
Term: games	 Score: 0
Term: gotta	 Score: 0
Term: else	 Score: 0
Term: boys	 Score: -3
Term: p	 Score: 1
Term: words	 Score: 2
Term: bro	 Score: 0
Term: head	 Score: 2
Term: phone	 Score: -1
Term: haven	 Score: -2
Term: photo	 Score: 1
Term: minutes	 Score: 2
Term: ask	 Score: 1
Term: woman	 Score: 1
Term: son	 Score: 1
Term: em	 Score: 0
Term: might	 Score: 2
Term: together	 Score: -1
Term: mind	 Score: 2
Term: date	 Score: 0
Term: link	 Score: 1
Term: media	 Score: 1
Term: playing	 Score: 1
Term: posted	 Score: 6
Term: daniel	 Score: -2
Term: full	 Score: 0
Term: own	 Score: 0
Term: party	 Score: 1
Term: set	 Score: 0
Term: ng	 Score: 1
Term: young	 Score: 1
Term: taking	 Score: 2
Term: london	 Score: 2
Term: enter	 Score: 3
Term: ago	 Score: 2
Term: city	 Score: 0
Term: giveaway	 Score: 4
Term: um	 Score: 0
Term: obama	 Score: 0
Term: open	 Score: 2
Term: probably	 Score: -1
Term: learn	 Score: -1
Term: which	 Score: 1
Term: waiting	 Score: 1
Term: isn	 Score: 0
Term: sometimes	 Score: 1
Term: flamini	 Score: 1
Term: comes	 Score: 1
Term: uk	 Score: 1
Term: del	 Score: -1
Term: went	 Score: 2
Term: yet	 Score: 1
Term: official	 Score: 2
Term: took	 Score: 0
Term: justin	 Score: 2
Term: boy	 Score: -1
Term: gold	 Score: 3
Term: single	 Score: 1
Term: eat	 Score: 2
Term: deal	 Score: 1
Term: q	 Score: 1
Term: though	 Score: 1
Term: maybe	 Score: 0
Term: point	 Score: 2
Term: following	 Score: 4
Term: account	 Score: 1
Term: instagram	 Score: 1
Term: mood	 Score: -3
Term: una	 Score: 1
Term: literally	 Score: 1
Term: f	 Score: 1
Term: history	 Score: 0
Term: far	 Score: 1
Term: photos	 Score: 1
Term: government	 Score: 0
Term: pa	 Score: 1
Term: league	 Score: 3
Term: second	 Score: 1
Term: men	 Score: 1
Term: h	 Score: 1
Term: hear	 Score: 1
Term: bea	 Score: 3
Term: jobs	 Score: 1
Term: gone	 Score: -2
Term: level	 Score: 0
Term: giving	 Score: 1
Term: pero	 Score: -1
Term: hours	 Score: 0
Term: either	 Score: 2
Term: pro	 Score: 1
Term: saw	 Score: -3
Term: saturday	 Score: 1
Term: light	 Score: 0
Term: happened	 Score: -1
Term: facebook	 Score: 0
Term: future	 Score: 2
Term: moment	 Score: 1
Term: break	 Score: 1
Term: beat	 Score: 0
Term: question	 Score: 2
Term: al	 Score: 1
Term: daddy	 Score: 1
Term: pls	 Score: 1
Term: tips	 Score: 2
